Model,Accuracy,Precision,Recall,F1-Score
Decision Tree,0.782312925170068,0.3191489361702128,0.3191489361702128,0.3191489361702128
Random Forest,0.8435374149659864,0.5454545454545454,0.1276595744680851,0.20689655172413793
